source_id,listing_type,title,price,area_sqm,building_year,address,prefecture,municipality,district,station,walk_min,lat,lng,url
S013,sale,小杉町レジデンス,53000000,59.5,2011,神奈川県川崎市中原区小杉町3丁目,神奈川県,川崎市中原区,小杉町,武蔵小杉,7,35.5748,139.6584,https://example.com/s013
S014,sale,幕張ベイタウン グリーンコート,32800000,72.4,2001,千葉県千葉市美浜区打瀬2丁目,千葉県,千葉市美浜区,打瀬,海浜幕張,10,35.6478,140.0412,https://example.com/s014
S015,sale,幕張ベイタウン シータワー,41500000,80.2,2006,千葉県千葉市美浜区打瀬3丁目,千葉県,千葉市美浜区,打瀬,海浜幕張,12,35.6502,140.0455,https://example.com/s015
S016,sale,市川グランドタワー,43800000,60.7,2013,千葉県市川市市川1丁目,千葉県,市川市,市川,市川,3,35.7322,139.9078,https://example.com/s016
S017,sale,市川レジデンシャル,35800000,58.0,2005,千葉県市川市市川2丁目,千葉県,市川市,市川,市川,8,35.7295,139.9052,https://example.com/s017
S018,sale,大宮桜木町プレミア,44800000,63.2,2014,埼玉県さいたま市大宮区桜木町2丁目,埼玉県,さいたま市大宮区,桜木町,大宮,5,35.9071,139.6205,https://example.com/s018
S019,sale,大宮桜木町ステーションコート,38200000,55.4,2009,埼玉県さいたま市大宮区桜木町1丁目,埼玉県,さいたま市大宮区,桜木町,大宮,4,35.9048,139.6238,https://example.com/s019
S020,sale,川口センタープレイス,36800000,61.0,2012,埼玉県川口市川口3丁目,埼玉県,川口市,川口,川口,6,35.8022,139.7185,https://example.com/s020
S021,sale,川口リバーサイドコート,29800000,57.3,2006,埼玉県川口市川口4丁目,埼玉県,川口市,川口,川口,11,35.7995,139.7222,https://example.com/s021
R001,rent,豊洲レジデンス 2LDK,248000,55.2,2014,東京都江東区豊洲4丁目,東京都,江東区,豊洲,豊洲,7,35.6545,139.7958,https://example.com/r001
R002,rent,豊洲ベイフロント 1LDK,198000,45.0,2010,東京都江東区豊洲2丁目,東京都,江東区,豊洲,豊洲,9,35.6572,139.7921,https://example.com/r002
R003,rent,豊洲ガーデンコート 2LDK,215000,52.8,2008,東京都江東区豊洲5丁目,東京都,江東区,豊洲,豊洲,6,35.6558,139.7975,https://example.com/r003
R004,rent,豊洲シーサイド 1LDK 格安,148000,44.6,2009,東京都江東区豊洲1丁目,東京都,江東区,豊洲,越中島,13,35.6595,139.7885,https://example.com/r004
R005,rent,豊洲パークサイド 2LDK,232000,54.1,2016,東京都江東区豊洲3丁目,東京都,江東区,豊洲,豊洲,8,35.6535,139.7990,https://example.com/r005
R006,rent,豊洲キャナル 1LDK,189000,43.2,2012,東京都江東区豊洲6丁目,東京都,江東区,豊洲,豊洲,10,35.6512,139.7938,https://example.com/r006
R007,rent,日吉ヒルサイド 2DK,128000,48.0,2002,神奈川県横浜市港北区日吉4丁目,神奈川県,横浜市港北区,日吉,日吉,8,35.5525,139.6452,https://example.com/r007
R008,rent,日吉グリーンハイツ 1LDK,115000,42.5,2006,神奈川県横浜市港北区日吉2丁目,神奈川県,横浜市港北区,日吉,日吉,6,35.5548,139.6421,https://example.com/r008
R009,rent,日吉ステーションフラッツ 2LDK,145000,53.0,2011,神奈川県横浜市港北区日吉1丁目,神奈川県,横浜市港北区,日吉,日吉,3,35.5535,139.6448,https://example.com/r009
R010,rent,日吉テラス 1DK,98000,38.4,2000,神奈川県横浜市港北区日吉3丁目,神奈川県,横浜市港北区,日吉,日吉,12,35.5502,139.6482,https://example.com/r010
